Segment,Start Index,End Index,Start X,End X,Slope,Intercept,R2,Duration,Fragment Length,SSR,SST
1,-1,106,121.766,15.65,,,,,,,
2,106,210,15.65,20.41,-281.8853112462441,12437.450314307716,0.9978461203899817,4.76,-1335.7378809852053,34579.182271415986,16054370.964179114
3,210,551,20.41,36.013,-118.84407293678021,9013.14858520906,0.9977801770313268,15.602999999999998,-2024.0945464032484,219680.05118650713,98962869.69127661
4,551,672,36.013,41.55,-3.226773659898759,4608.438423341599,0.3251896065269513,5.536999999999999,-170.22783204740972,43705.50883058158,64767.094954839544
5,672,761,41.55,45.624,-256.16319628788693,15139.736424431285,0.9953159665709606,4.074000000000005,-970.6292135371023,39172.81219692908,8363051.372364342
6,761,841,45.624,49.284,-82.37259947783714,7321.200674409281,0.8415814186775533,3.6599999999999966,-318.7707654839696,115216.53275121267,727291.784773024
7,841,989,49.284,56.056,-5.5188506318819375,3372.845278134993,0.2864572701321527,6.7719999999999985,-191.46354943943834,54278.968790653584,76069.68233101667
8,989,1154,56.056,64.431,1.5734287772156854,2750.059578733392,0.22014309253919395,8.375,-126.36640456886653,68906.09331658209,88357.35460873015
9,1154,1197,64.431,66.398,471.91654939301867,-27564.62820031851,0.989468838500553,1.9669999999999987,840.051559841892,34967.89603122368,3320421.591964004
10,1197,1241,66.398,68.41,28.83161458567124,1866.7992602839295,0.18693644997460457,2.0120000000000005,195.06875394417875,82487.42019746896,101452.61117029848
11,1241,1306,68.41,71.385,25.094404200037946,2254.37169234779,0.5012651901115533,2.9750000000000085,161.17326310716317,37304.91785360501,74799.10588544862
12,1306,1370,71.385,74.314,452.54340955676935,-28221.788664922657,0.996381606759745,2.928999999999988,1367.8233446967165,35725.85298431213,9873402.533162644
13,1370,1424,74.314,76.785,342.3443063230654,-19948.28190941868,0.9900966534706784,2.4710000000000036,896.7490264791932,34592.60716790659,3493021.9866068163
14,1424,1564,76.785,83.191,5.709676910272207,5865.280907646826,0.33934619274976574,6.406000000000006,43.88220610586086,30214.251639275815,45733.8644047678
15,1564,1617,83.191,85.617,283.0215045889665,-17076.051014093013,0.9681877513875113,2.426000000000002,728.5472095678515,74751.67209263725,2349776.433700183
16,1617,1718,85.617,90.239,-61.60861146375501,12436.127757334143,0.7997130960187836,4.622,-99.56433689250662,171798.42593126008,857761.6534896956
17,1718,2282,90.239,116.047,0.11714236994277734,7136.071461009349,0.0370056083272855,25.807999999999993,133.14532756317567,176715.9178821058,183506.69475359196
18,2282,2313,116.047,117.466,462.07586673707044,-46539.63254296157,0.9852973294441959,1.418999999999997,552.5733873104064,17732.538606027778,1206076.034875692
19,2313,2339,117.466,118.656,180.54129898322816,-13589.245884387032,0.7792736377633797,1.190000000000012,203.42520412684735,28029.109922115094,126985.78293093815
20,2339,2407,118.656,121.766,26.690886612953754,4858.707063676149,0.6991417024950508,3.1099999999999994,230.18816939427325,28883.04545850337,96002.15682277549
