time,data,fit
9.8074,30.3095,34.0608
10.0206,34.0476,34.0608
10.2338,35.6190,34.0608
10.4470,35.8571,34.0608
10.6602,36.3333,34.0608
10.8734,36.2857,34.0608
11.0866,32.2381,34.0608
11.2998,33.0476,34.0608
11.5130,32.8095,34.0608
11.7262,38.6667,40.0571
11.9394,43.2857,40.0571
12.1526,46.1905,40.0571
12.3658,37.8571,40.0571
12.5790,34.2857,40.0571
12.7922,27.9048,30.5824
13.0054,27.6190,30.5824
13.2187,29.1905,30.5824
13.4319,30.7143,30.5824
13.6451,32.2857,30.5824
13.8583,31.7619,30.5824
14.0715,32.0000,30.5824
14.2847,28.7619,30.5824
14.4979,29.1905,30.5824
14.7111,26.5238,30.5824
14.9243,32.3810,30.5824
15.1375,32.2381,30.5824
15.3507,37.0000,30.5824
15.5639,44.1905,46.1020
15.7771,48.7619,46.1020
15.9903,49.8095,46.1020
16.2035,49.6190,46.1020
16.4167,43.2381,46.1020
16.6299,43.6190,46.1020
16.8431,43.4762,46.1020
17.0563,41.4286,38.2857
17.2695,41.3333,38.2857
17.4827,36.4762,38.2857
17.6959,36.7619,38.2857
17.9091,38.9524,38.2857
18.1223,34.7619,38.2857
18.3356,30.8571,26.6389
18.5488,27.1429,26.6389
18.7620,21.3333,26.6389
18.9752,22.8095,26.6389
19.1884,25.1429,26.6389
19.4016,26.2381,26.6389
19.6148,28.1429,26.6389
19.8280,30.5238,26.6389
20.0412,29.1429,26.6389
20.2544,28.4286,26.6389
20.4676,25.0476,26.6389
20.6808,24.8571,26.6389
20.8940,31.3810,34.8333
21.1072,38.2857,34.8333
21.3204,48.5238,48.9456
21.5336,52.0000,48.9456
21.7468,49.5238,48.9456
21.9600,47.6190,48.9456
22.1732,50.5714,48.9456
22.3864,46.5714,48.9456
22.5996,47.8095,48.9456
22.8128,42.9048,41.9320
23.0260,38.7619,41.9320
23.2392,39.2857,41.9320
23.4524,46.2381,41.9320
23.6657,47.5714,41.9320
23.8789,42.7619,41.9320
24.0921,36.0000,41.9320
24.3053,28.2857,29.4782
24.5185,21.8571,29.4782
24.7317,28.9524,29.4782
24.9449,31.7143,29.4782
25.1581,30.4286,29.4782
25.3713,29.4286,29.4782
25.5845,27.3333,29.4782
25.7977,24.9524,29.4782
26.0109,29.0000,29.4782
26.2241,29.8571,29.4782
26.4373,25.7619,29.4782
26.6505,27.7143,29.4782
26.8637,31.4286,29.4782
27.0769,28.8571,29.4782
27.2901,32.4762,29.4782
27.5033,37.1905,29.4782
27.7165,32.7619,29.4782
27.9297,35.9524,29.4782
28.1429,36.6190,29.4782
28.3561,26.9048,29.4782
28.5693,27.8095,29.4782
28.7826,28.5714,29.4782
28.9958,28.4286,29.4782
29.2090,30.2381,29.4782
29.4222,31.2381,29.4782
29.6354,28.0952,29.4782
29.8486,29.0000,29.4782
30.0618,31.1905,29.4782
30.2750,31.8571,29.4782
30.4882,28.8095,29.4782
30.7014,24.1429,29.4782
30.9146,27.9524,29.4782
31.1278,32.6190,29.4782
31.3410,36.3333,29.4782
31.5542,35.9524,29.4782
31.7674,33.7143,29.4782
31.9806,26.3810,29.4782
32.1938,29.2381,29.4782
32.4070,26.9048,29.4782
32.6202,22.7619,29.4782
32.8334,25.1905,29.4782
33.0466,28.0000,29.4782
33.2598,25.4286,29.4782
33.4730,30.1905,29.4782
33.6862,27.1429,29.4782
33.8994,27.1429,29.4782
34.1127,33.6667,29.4782
34.3259,38.8095,45.2275
34.5391,42.6190,45.2275
34.7523,51.9524,45.2275
34.9655,49.7619,45.2275
35.1787,49.4286,45.2275
35.3919,48.2381,45.2275
35.6051,46.1905,45.2275
35.8183,41.7143,45.2275
36.0315,38.3333,45.2275
36.2447,29.5714,29.6280
36.4579,24.9048,29.6280
36.6711,24.9524,29.6280
36.8843,29.2381,29.6280
37.0975,30.9048,29.6280
37.3107,32.3333,29.6280
37.5239,30.3810,29.6280
37.7371,30.2857,29.6280
37.9503,28.0476,29.6280
38.1635,31.7143,29.6280
38.3767,29.9524,29.6280
38.5899,29.0952,29.6280
38.8031,31.2381,29.6280
39.0163,31.7143,29.6280
39.2296,28.5238,29.6280
39.4428,31.1905,29.6280
39.6560,25.5714,23.5048
39.8692,22.6667,23.5048
40.0824,23.7143,23.5048
40.2956,23.8571,23.5048
40.5088,23.3333,23.5048
40.7220,25.9524,23.5048
40.9352,22.0000,23.5048
41.1484,21.1905,23.5048
41.3616,22.7619,23.5048
41.5748,24.0000,23.5048
41.7880,26.4286,28.0675
42.0012,27.9524,28.0675
42.2144,27.5238,28.0675
42.4276,28.9048,28.0675
42.6408,32.3333,28.0675
42.8540,29.1905,28.0675
43.0672,29.5238,28.0675
43.2804,28.8095,28.0675
43.4936,26.1429,28.0675
43.7068,24.6190,28.0675
43.9200,26.9524,28.0675
44.1332,28.4286,28.0675
44.3464,29.8095,29.5762
44.5597,31.3810,29.5762
44.7729,31.2857,29.5762
44.9861,31.0000,29.5762
45.1993,30.1429,29.5762
45.4125,31.0476,29.5762
45.6257,30.3333,29.5762
45.8389,30.7143,29.5762
46.0521,32.4762,29.5762
46.2653,30.2381,29.5762
46.4785,26.3810,29.5762
46.6917,26.6190,29.5762
46.9049,30.3810,29.5762
47.1181,30.6190,29.5762
47.3313,32.8095,29.5762
47.5445,31.1429,29.5762
47.7577,27.5714,29.5762
47.9709,22.6667,29.5762
48.1841,25.6190,29.5762
48.3973,29.2857,29.5762
48.6105,38.0952,47.4857
48.8237,47.6190,47.4857
49.0369,55.6190,47.4857
49.2501,50.4762,47.4857
49.4633,45.6190,47.4857
49.6766,38.9524,32.4087
49.8898,30.0952,32.4087
50.1030,27.4286,32.4087
50.3162,31.4286,32.4087
50.5294,29.7619,32.4087
50.7426,30.1429,32.4087
50.9558,32.8095,32.4087
51.1690,30.6190,32.4087
51.3822,35.0000,32.4087
51.5954,36.6667,32.4087
51.8086,33.8571,32.4087
52.0218,32.1429,32.4087
52.2350,31.0000,27.5365
52.4482,30.8571,27.5365
52.6614,30.7619,27.5365
52.8746,29.4762,27.5365
53.0878,26.9524,27.5365
53.3010,24.0476,27.5365
53.5142,22.8095,27.5365
53.7274,25.7143,27.5365
53.9406,26.3333,27.5365
54.1538,30.0952,27.5365
54.3670,31.2857,27.5365
54.5802,29.1905,27.5365
54.7934,25.3333,27.5365
55.0067,23.6667,27.5365
55.2199,25.5238,27.5365
55.4331,34.9524,38.2024
55.6463,38.6190,38.2024
55.8595,40.8095,38.2024
56.0727,38.4286,38.2024
56.2859,33.3810,26.8611
56.4991,28.7619,26.8611
56.7123,31.2381,26.8611
56.9255,26.6667,26.8611
57.1387,26.3810,26.8611
57.3519,28.2381,26.8611
57.5651,26.3333,26.8611
57.7783,23.4286,26.8611
57.9915,24.2381,26.8611
58.2047,21.5238,26.8611
58.4179,23.7619,26.8611
58.6311,28.3810,26.8611
58.8443,32.4762,32.4454
59.0575,32.8571,32.4454
59.2707,34.1429,32.4454
59.4839,31.4762,32.4454
59.6971,30.7143,32.4454
59.9103,30.6667,32.4454
60.1236,33.3810,32.4454
60.3368,31.3810,32.4454
60.5500,33.7143,32.4454
60.7632,34.5238,32.4454
