index,time,level_before,level_after,step_size,dwell_time_before,dwell_time_after,error,round
6,6,34.4558,42.7143,8.2585,7,3,2.3045,1
9,9,42.7143,36.0238,-6.6905,3,2,2.9824,1
11,11,36.0238,29.4048,-6.6190,2,10,2.1372,1
21,21,29.4048,33.8254,4.4206,10,3,1.5358,1
24,24,33.8254,47.1429,13.3175,3,4,1.8692,1
28,28,47.1429,42.6095,-4.5333,4,5,1.3644,1
33,33,42.6095,36.7381,-5.8714,5,4,0.9973,1
37,37,36.7381,27.0278,-9.7103,4,12,1.1997,1
49,49,27.0278,35.0476,8.0198,12,2,3.4829,1
51,51,35.0476,48.3061,13.2585,2,7,3.4873,1
58,58,48.3061,41.9864,-6.3197,7,7,1.7979,1
65,65,41.9864,27.9405,-14.0459,7,12,1.7623,1
77,77,27.9405,30.1667,2.2262,12,2,1.2477,1
79,79,30.1667,35.8095,5.6429,2,5,1.3462,1
84,84,35.8095,28.6264,-7.1832,5,13,1.0842,1
97,97,28.6264,34.6548,6.0284,13,4,1.0538,1
101,101,34.6548,27.4589,-7.1959,4,11,1.2425,1
112,112,27.4589,40.7143,13.2554,11,2,2.0923,1
114,114,40.7143,49.1143,8.4000,2,5,2.1266,1
119,119,49.1143,40.0238,-9.0905,5,2,1.9371,1
121,121,40.0238,26.4762,-13.5476,2,3,2.2919,1
124,124,26.4762,30.3553,3.8791,3,13,1.5907,1
137,137,30.3553,23.5048,-6.8505,13,10,0.5938,1
147,147,23.5048,28.0675,4.5627,10,12,0.7360,1
159,159,28.0675,30.3988,2.3313,12,16,0.7131,1
175,175,30.3988,26.4524,-3.9464,16,4,1.6005,1
179,179,26.4524,43.7540,17.3016,4,6,2.5949,1
185,185,43.7540,32.0286,-11.7254,6,10,2.1632,1
195,195,32.0286,29.9048,-2.1238,10,5,0.6619,1
200,200,29.9048,26.5801,-3.3247,5,11,0.7661,1
211,211,26.5801,37.2381,10.6580,11,5,1.5105,1
216,216,37.2381,27.9365,-9.3016,5,6,1.5551,1
222,222,27.9365,23.2381,-4.6984,6,4,0.9815,1
226,226,23.2381,32.1361,8.8980,4,14,0.7363,1
240,240,32.1361,27.2684,-4.8677,14,11,0.6131,1
251,251,27.2684,38.0635,10.7951,11,3,1.4902,1
254,254,38.0635,52.7143,14.6508,3,2,2.4175,1
256,256,52.7143,64.4218,11.7075,2,7,2.1149,1
263,263,64.4218,49.5000,-14.9218,7,2,5.9840,1
265,265,49.5000,43.9286,-5.5714,2,4,6.0657,1
269,269,43.9286,50.6429,6.7143,4,6,1.4165,1
275,275,50.6429,62.4921,11.8492,6,3,0.6151,1
278,278,62.4921,53.7937,-8.6984,3,3,1.0968,1
281,281,53.7937,60.0238,6.2302,3,6,1.5128,1
287,287,60.0238,53.1837,-6.8401,6,7,1.4924,1
294,294,53.1837,49.0952,-4.0884,7,2,1.1630,1
296,296,49.0952,36.5714,-12.5238,2,2,1.4607,1
298,298,36.5714,50.3571,13.7857,2,4,2.4232,1
302,302,50.3571,36.4667,-13.8905,4,5,2.1313,1
307,307,36.4667,25.6746,-10.7921,5,18,0.9618,1
325,325,25.6746,31.1905,5.5159,18,4,1.1505,1
329,329,31.1905,24.0833,-7.1071,4,4,1.1959,1
333,333,24.0833,28.3061,4.2228,4,7,0.9396,1
340,340,28.3061,35.7024,7.3963,7,4,1.7892,1
344,344,35.7024,26.5143,-9.1881,4,5,2.2355,1
349,349,26.5143,33.6190,7.1048,5,6,1.8034,1
355,355,33.6190,30.0748,-3.5442,6,7,1.4477,1
362,362,30.0748,37.7460,7.6712,7,3,1.0614,1
365,365,37.7460,42.6667,4.9206,3,5,1.2298,1
370,370,42.6667,33.0556,-9.6111,5,6,1.5387,1
376,376,33.0556,27.0000,-6.0556,6,8,1.1840,1
384,384,27.0000,36.0000,9.0000,8,5,0.8918,1
389,389,36.0000,40.0774,4.0774,5,8,0.7831,1
397,397,40.0774,34.0741,-6.0033,8,9,0.8209,1
406,406,34.0741,27.8363,-6.2378,9,32,0.7674,1
438,438,27.8363,34.1701,6.3338,32,7,0.8263,1
445,445,34.1701,29.5616,-4.6084,7,34,0.7727,1
479,479,29.5616,36.4381,6.8765,34,5,1.6249,1
484,484,36.4381,30.5417,-5.8964,5,8,1.9049,1
492,492,30.5417,36.6548,6.1131,8,4,1.3283,1
496,496,36.6548,47.8333,11.1786,4,6,1.0951,1
502,502,47.8333,41.3333,-6.5000,6,2,1.7834,1
504,504,41.3333,35.0635,-6.2698,2,3,2.1739,1
507,507,35.0635,27.9167,-7.1468,3,4,1.7334,1
511,511,27.9167,37.2798,9.3631,4,8,1.1502,1
